"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
152,239,"UGA","Uganda",51,"Rakai",144,"Kooki","UG.RA.KO",NA,"1102","County","County","",""
153,239,"UGA","Uganda",51,"Rakai",144,"Kooki","UG.RA.KO",NA,"1103","County","County","",""
154,239,"UGA","Uganda",51,"Rakai",145,"Kyotera","UG.RA.KY",NA,"1104","County","County","",""
155,239,"UGA","Uganda",52,"Rukungiri",146,"Bufumbira","UG.KR.BF",NA,"4122","County","County","","Bujumbura"
156,239,"UGA","Uganda",52,"Rukungiri",147,"Rubabo","UG.RK.RB",NA,"4121","County","County","",""
157,239,"UGA","Uganda",53,"Sembabule",148,"Lwemiyaga","UG.SE.LW",NA,"1111","County","County","",""
158,239,"UGA","Uganda",53,"Sembabule",149,"Mawogola","UG.SE.MW",NA,"1112","County","County","",""
159,239,"UGA","Uganda",54,"Sironko",150,"Budadiri","UG.SI.BD",NA,"2151","County","County","",""
160,239,"UGA","Uganda",54,"Sironko",151,"Bulambuli","UG.SI.BL",NA,"2152","County","County","",""
161,239,"UGA","Uganda",54,"Sironko",152,"Mt. Elgon Np","",NA,"2153","County","County","",""
162,239,"UGA","Uganda",55,"Soroti",153,"Kasilo","UG.SR.KS",NA,"2111","County","County","",""
163,239,"UGA","Uganda",55,"Soroti",154,"Serere","UG.SR.SE",NA,"2112","County","County","",""
164,239,"UGA","Uganda",55,"Soroti",155,"Soroti","UG.SR.SM",NA,"2113","Municipality","Municipality","",""
165,239,"UGA","Uganda",55,"Soroti",155,"Soroti","UG.SR.SM",NA,"2114","Municipality","Municipality","",""
166,239,"UGA","Uganda",56,"Tororo",156,"Bunyole","UG.BJ.BN",NA,"2121","County","County","",""
167,239,"UGA","Uganda",56,"Tororo",157,"Kisoko (West Budama)","UG.TR.KS",NA,"2124","County","County","","West Budama (Kisolo)"
168,239,"UGA","Uganda",56,"Tororo",158,"Tororo","UG.TR.TR",NA,"2122","Municipality","Municipality","",""
169,239,"UGA","Uganda",56,"Tororo",158,"Tororo","UG.TR.TR",NA,"2123","Municipality","Municipality","",""
170,239,"UGA","Uganda",57,"Wakiso",159,"Busiiro","UG.WA.BS",NA,"1131","County","County","","Busiro"
171,239,"UGA","Uganda",57,"Wakiso",160,"Entebbe","UG.WA.ET",NA,"1132","County","County","","Entebbe Municipality"
172,239,"UGA","Uganda",57,"Wakiso",161,"Jinja","UG.WA.KA",NA,"1133","County","County","","Kyadondo"
173,239,"UGA","Uganda",58,"Yumbe",162,"Aringa","UG.YU.AR",NA,"3131","County","County","",""
